Time,MTG_Cost,MTG_Rev,SSP_Rev,SSP_ADX_Req,SSP_RS_Req,SSP_Impression,SSP ECPM,SSP_RS ECPM,DSP_Rev,DSP_Req,DSP_DRS_Req,DSP_Impression,DSP ECPM,DSP_RS ECPM,ECPM,COST_REV,SSP_IVRV_Rev,SSP_NON_IVRV_Rev,DSP_IVRV_Rev,DSP_NON_IVRV_Rev,SSP_REQ_IVRV,SSP_REQ_NON_IVRV,SSP_IMP_IVRV,SSP_IMP_NON_IVRV,DSP_REQ_IVRV,DSP_REQ_NON_IVRV,DSP_IMP_IVRV,DSP_IMP_NON_IVRV,SSP_IVRV_ECPM,SSP_NON_IVRV_ECPM,DSP_IVRV_ECPM,DSP_NON_IVRV_ECPM
21-Dec,18.8,217.66,143.88,126.57,79.27,11.57,1.24,0.18,68.68,1851.58,450.93,3.66,1.88,0.015,1.429,8.64%,,,,,37.93,99.32,1.71,9.86,662.69,1188.9,0.82,2.84,,,,
22-Jan,19.48,220.81,146.08,154.3,86.51,13.2,1.11,0.17,70.94,2090.6,513.65,4.71,1.51,0.014,1.233,8.82%,,,,,42.43,115.23,2.06,11.14,732.27,1358.32,1.05,3.65,,,,
22-Feb,18.85,212.39,140.52,167.43,96.73,13.75,1.02,0.15,67.32,2163.61,526.01,3.76,1.79,0.013,1.213,8.88%,,,,,46.75,129.92,2.02,11.73,743.07,1420.54,0.94,2.83,,,,
22-Mar,17.32,211.94,143.23,175.09,112.8,15.55,0.92,0.13,68.5,2085.31,486.83,3.7,1.85,0.014,1.101,8.17%,,,,,50.05,138.3,2.4,13.15,761.78,1323.53,0.99,2.72,,,,
22-Apr,17.06,216.57,152.09,192.85,127.65,16.6,0.92,0.12,61.97,2056.34,514.79,3.42,1.81,0.012,1.082,7.88%,,,,,56.8,156.56,2.53,14.07,769.05,1287.29,0.94,2.49,,,,
22-May,17.00,216.26,156.5,209.88,136.83,17.32,0.9,0.11,56.96,2086.51,523.41,3.38,1.69,0.011,1.045,7.86%,,,,,62.04,167.71,2.62,14.7,802.5,1284.01,0.93,2.46,,,,
22-Jun,16.42,227.79,166.85,221.18,141,17,0.98,0.12,58.21,2035.01,342.57,3.6,1.62,0.017,1.106,7.21%,,,,,67.57,175.41,2.73,14.28,783.91,1251.09,0.89,2.71,,,,
22-Jul,15.99,228.51,169.57,234.12,128.68,17.28,0.98,0.13,57.03,2188.38,276.91,3.68,1.55,0.021,1.091,7.00%,,,,,72.64,180.03,2.98,14.29,885.02,1303.35,0.95,2.72,,,,
22-Aug,15.83,198.65,146.93,222.58,123.09,16.21,0.91,0.12,50.21,2132.29,245.85,3.01,1.67,0.02,1.034,7.97%,128.73,16.36,37.59,10.27,70.9,164.46,2.59,13.58,859.92,1257.38,0.85,2.13,4.97 ,0.12 ,4.42 ,0.48 
22-Sep,16.72,188.52,132,220.04,125.78,17.35,0.76,0.1,54.94,2058.47,301.01,3.05,1.8,0.018,0.924,8.87%,114.59,17.4,40.9,11.15,64.9,178.04,2.34,15,816.17,1242.3,0.87,2.17,4.90 ,0.12 ,4.70 ,0.51 
22-Oct,17.51,192.75,134.49,245.7,127.57,20.62,0.65,0.11,56.55,2133.19,315.99,3.27,1.73,0.018,0.807,9.08%,115.91,18.57,42.37,11.17,69.49,206.12,2.43,18.19,840.55,1292.63,0.96,2.32,4.77 ,0.10 ,4.41 ,0.48 
22-Nov,18.08,223.86,166.57,251.04,133.26,27.48,0.61,0.13,55.43,2312.66,332.18,2.97,1.87,0.017,0.735,8.08%,143.67,22.9,41.97,10.99,76.19,191.94,2.76,24.72,880.2,1432.44,0.93,2.04,5.21 ,0.09 ,4.51 ,0.54 
22-Dec,17.64,259.87,205.16,275.61,152.8,36.17,0.57,0.13,52.4,2422.3,327.55,2.83,1.85,0.016,0.665,6.79%,177.96,27.19,40.94,9.26,84,208.44,3.37,32.79,1021.26,1401.04,1,1.82,5.28 ,0.08 ,4.09 ,0.51 
23-Jan,18.86,261.32,210.02,314.53,168.77,45.73,0.46,0.12,48.55,2557.09,363.9,3.52,1.38,0.013,0.529,7.22%,181.52,28.5,36.28,10.46,95.76,221.27,4.03,40.32,1104.42,1370.31,1.01,2.4,4.50 ,0.07 ,3.59 ,0.44 
23-Feb,19.42,241.56,197.91,319.83,100.21,43.74,0.45,0.20,42.67,2451.59,326.82,3.32,1.29,0.013 ,0.513,8.04%,169.72,21.67,28.34,6.82,89.51,233.98,3.93,39.81,1030.55,1421.05,0.91,2.4,4.32 ,0.05 ,3.11 ,0.28